"resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","fastestLapSpeed","statusId","team","teamnat"
23828,991,4,1,"14",13,"7","7",7,6,56,"+30.639","5767019","56","7","1:37.234","201.818",1,"McLaren","British"
23829,991,20,6,"5",1,"8","8",8,4,56,"+35.286","5771666","24","9","1:37.479","201.311",1,"Ferrari","Italian"
23831,991,825,210,"20",11,"10","10",10,1,56,"+39.594","5775974","54","14","1:38.152","199.930",1,"Haas F1 Team","American"
23834,991,838,1,"2",14,"13","13",13,0,56,"+49.373","5785753","54","13","1:38.137","199.961",1,"McLaren","British"
23835,991,840,3,"18",18,"14","14",14,0,56,"+55.490","5791870","54","17","1:38.500","199.224",1,"Williams","British"
23836,991,845,3,"35",16,"15","15",15,0,56,"+58.241","5794621","47","18","1:38.624","198.973",1,"Williams","British"
23838,991,154,210,"8",10,"17","17",17,0,56,"+1:05.296","5801676","51","8","1:37.410","201.453",1,"Haas F1 Team","American"
23842,992,1,131,"44",2,"1","1",1,25,51,"1:43:44.291","6224291","35","2","1:45.412","205.012",1,"Mercedes","German"
23843,992,8,6,"7",6,"2","2",2,18,51,"+2.460","6226751","50","7","1:46.523","202.874",1,"Ferrari","Italian"
23845,992,20,6,"5",1,"4","4",4,12,51,"+5.329","6229620","38","4","1:45.530","204.783",1,"Ferrari","Italian"
23848,992,4,1,"14",12,"7","7",7,6,51,"+10.931","6235222","32","12","1:47.449","201.126",1,"McLaren","British"
23849,992,840,3,"18",10,"8","8",8,4,51,"+12.546","6236837","50","8","1:46.815","202.319",1,"Williams","British"
23850,992,838,1,"2",16,"9","9",9,2,51,"+14.152","6238443","50","13","1:47.666","200.720",1,"McLaren","British"
23854,992,825,210,"20",15,"13","13",13,0,51,"+40.663","6264954","35","16","1:48.155","199.813",1,"Haas F1 Team","American"
23855,992,822,131,"77",3,"\N","R",14,0,48,"\N","\N","37","1","1:45.149","205.525",29,"Mercedes","German"
23856,992,154,210,"8",20,"\N","R",15,0,42,"\N","\N","34","10","1:46.880","202.196",3,"Haas F1 Team","American"
23857,992,830,9,"33",5,"\N","R",16,0,39,"\N","\N","31","5","1:45.771","204.316",4,"Red Bull","Austrian"
23858,992,817,9,"3",4,"\N","R",17,0,39,"\N","\N","34","3","1:45.419","204.999",4,"Red Bull","Austrian"
23861,992,845,3,"35",11,"\N","R",20,0,0,"\N","\N","\N","0","\N","\N",4,"Williams","British"
23862,993,1,131,"44",1,"1","1",1,25,66,"1:35:29.972","5729972","64","3","1:19.133","211.770",1,"Mercedes","German"
23863,993,822,131,"77",2,"2","2",2,18,66,"+20.593","5750565","56","5","1:19.478","210.850",1,"Mercedes","German"
23864,993,830,9,"33",5,"3","3",3,15,66,"+26.873","5756845","62","4","1:19.422","210.999",1,"Red Bull","Austrian"
23865,993,20,6,"5",3,"4","4",4,12,66,"+27.584","5757556","61","2","1:19.128","211.783",1,"Ferrari","Italian"
23866,993,817,9,"3",6,"5","5",5,10,66,"+50.058","5780030","61","1","1:18.441","213.638",1,"Red Bull","Austrian"
23867,993,825,210,"20",7,"6","6",6,8,65,"\N","\N","64","6","1:20.246","208.832",11,"Haas F1 Team","American"
23869,993,4,1,"14",8,"8","8",8,4,65,"\N","\N","64","7","1:20.727","207.588",11,"McLaren","British"
23872,993,840,3,"18",18,"11","11",11,0,64,"\N","\N","60","12","1:22.095","204.129",12,"Williams","British"
23875,993,845,3,"35",19,"14","14",14,0,63,"\N","\N","57","17","1:22.680","202.685",13,"Williams","British"
